corp_name,stock_code,kind_code
DL,000210,00021
DRB동일,004840,00484
DSR,155660,15566
GS,078930,07893
KG케미칼,001390,00139
KPX케미칼,025000,02500
KTis,058860,05886
LG이노텍,011070,01107
LG헬로비전,037560,03756
LX하우시스,108670,10867
LX홀딩스,383800,38380
MH에탄올,023150,02315
NAVER,035420,03542
OCI,010060,01006
PI첨단소재,178920,17892
SK스퀘어,402340,40234
SK이노베이션,096770,09677
STX,011810,01181
WISCOM,024070,02407
갤럭시아에스엠,011420,01142
경농,002100,00210
경동인베스트,012320,01232
국도화학,007690,00769
국동,005320,00532
극동유화,014530,01453
노루페인트,090350,09035
녹십자,006280,00628
녹십자홀딩스,005250,00525
대덕전자,353200,35320
대성산업,128820,12882
대우건설,047040,04704
대원강업,000430,00043
덴티움,145720,14572
동화약품,000020,00002
두산퓨얼셀,336260,33626
롯데정보통신,286940,28694
메리츠증권,008560,00856
명문제약,017180,01718
모나리자,012690,01269
모두투어리츠,204210,20421
보령,003850,00385
부국증권,001270,00127
삼성엔지니어링,028050,02805
삼성전자,005930,00593
삼성출판사,068290,06829
삼양식품,003230,00323
삼영화학공업,003720,00372
삼익THK,004380,00438
삼호개발,010960,01096
상상인증권,001290,00129
선진,136490,13649
세기상사,002420,00242
세방전지,004490,00449
신대양제지,016590,01659
신도리코,029530,02953
신세계인터내셔날,031430,03143
신풍제지,002870,00287
신한알파리츠,293940,29394
신한지주,055550,05555
쌍용자동차,003620,00362
에이블씨엔씨,078520,07852
영화금속,012280,01228
오뚜기,007310,00731
우진,105840,10584
윌비스,008600,00860
유나이티드,033270,03327
인지컨트롤스,023800,02380
인터지스,129260,12926
일성건설,013360,01336
일진다이아,081000,08100
자화전자,033240,03324
제일약품,271980,27198
제일파마홀딩스,002620,00262
조비,001550,00155
종근당홀딩스,001630,00163
지역난방공사,071320,07132
진에어,272450,27245
케이씨티시,009070,00907
코람코더원리츠,417310,41731
코람코더원리츠,417310,41731
코오롱글로벌,003070,00307
콘텐트리중앙,036420,03642
콤텍시스템,031820,03182
키다리스튜디오,020120,02012
태양금속공업,004100,00410
토니모리,214420,21442
한국패러랠,168490,16849
한샘,009240,00924
한솔로지스틱스,009180,00918
한일철강,002220,00222
한창제지,009460,00946
한화생명,088350,08835
한화솔루션,009830,00983
현대건설,000720,00072
현대비앤지스틸,004560,00456
현대자동차,005380,00538
현대차증권,001500,00150
호전실업,111110,11111
CJ 바이오사이언스,311690,31169
ES큐브,050120,05012
IBKS제17호스팩,405350,40535
ISC,095340,09534
JW신약,067290,06729
KB오토시스,024120,02412
KH 전자,111870,11187
KH바텍,060720,06072
KT서브마린,060370,06037
SCI평가정보,036120,03612
TJ미디어,032540,03254
감성코퍼레이션,036620,03662
강스템바이오텍,217730,21773
강원에너지,114190,11419
골프존,215000,21500
교보9호스팩,331520,33152
국순당,043650,04365
국일제지,078130,07813
그리티,204020,20402
글로본,019660,01966
까스텔바작,308100,30810
나노브릭,286750,28675
나래나노텍,137080,13708
네오리진,094860,09486
네오티스,085910,08591
네이처셀,007390,00739
넥스턴바이오,089140,08914
농우바이오,054050,05405
뉴인텍,012340,01234
뉴트리,270870,27087
다나와,119860,11986
다보링크,340360,34036
다우데이타,032190,03219
대봉엘에스,078140,07814
대유,290380,29038
대유에이피,290120,29012
대한약품,023910,02391
덕산네오룩스,213420,21342
동구바이오제약,006620,00662
동방선기,099410,09941
드림시큐리티,203650,20365
디모아,016670,01667
디에이피,066900,06690
디엔에이링크,127120,12712
디지틀조선,033130,03313
레몬,294140,29414
룽투코리아,060240,06024
링크제니시스,219420,21942
마인즈랩,377480,37748
메디포스트,078160,07816
메이슨캐피탈,021880,02188
모비스,250060,25006
미래에셋대우스팩3호,328380,32838
미코바이오메드,214610,21461
바이오에프디엔씨,251120,25112
베뉴지,019010,01901
브랜드엑스코퍼레이션,337930,33793
브이씨,365900,36590
비씨엔씨,146320,14632
삼기,122350,12235
삼보판지,023600,02360
삼성스팩4호,377630,37763
샘씨엔에스,252990,25299
선진뷰티사이언스,086710,08671
성도이엔지,037350,03735
성창오토텍,080470,08047
세아메카닉스,396300,39630
셀루메드,049180,04918
셀바스헬스케어,208370,20837
슈피겐코리아,192440,19244
스타플렉스,115570,11557
스톤브릿지벤처스,330730,33073
스페코,013810,01381
시스웍,269620,26962
시티랩스,139050,13905
신영스팩6호,344050,34405
신한제9호스팩,405640,40564
신한제9호스팩,405640,40564
쌍용정보통신,010280,01028
씨씨에스,066790,06679
씨케이에이치,900120,CYM06
아스타,246720,24672
아시아경제,127710,12771
아이비김영,339950,33995
아이센스,099190,09919
아이씨케이,068940,06894
아이에스이커머스,069920,06992
아이윈,090150,09015
아이컴포넌트,059100,05910
아이크래프트,052460,05246
아이티센,124500,12450
알비더블유,361570,36157
알에프세미,096610,09661
알에프텍,061040,06104
알체라,347860,34786
알파홀딩스,117670,11767
애니플러스,310200,31020
앤디포스,238090,23809
앱클론,174900,17490
어보브반도체,102120,10212
에디슨INNO,056090,05609
에스아이리소스,065420,06542
에스앤더블류,103230,10323
에스에너지,095910,09591
에스에이티이엔지,351320,35132
에스에프에이,056190,05619
에쎈테크,043340,04334
에이디엠코리아,187660,18766
에이디테크놀로지,200710,20071
에이스토리,241840,24184
에이치엔티,176440,17644
에이텍,045660,04566
에이텍티앤,224110,22411
에이티넘인베스트,021080,02108
엑세스바이오,950130,USA09
엑시콘,092870,09287
엔바이오니아,317870,31787
엘아이에스,138690,13869
