corp_code,inventory,totalEquity,CofGS,totalDebt,CFfromO,accountReceivable,accountPayables,revenue
1065679,18486668572,79692716995,2631306087,34063838605,-442461354,15578212173,6432187524,7880267897
374020,9544407583,68054090056,3026333429,9092189898,3968343724,6813009343,887791136,3710114647
203023,19694630223,77470091548,43348756104,96450176733,-591772643,15719175685,17299086585,50030779466
664048,19004636948,59017007035,11181669277,37564385258,1948307542,7084862367,4772754005,14204883169
521390,55712840438,211499444080,49194513245,263299862903,-2672353511,47845989474,10987582311,66780619144
101488,181035014175,369310616454,143509684903,387779711753,15902806456,103615096830,112472769342,232558417577
1234297,67401324169,269740305316,90966580832,74043156514,5334054026,80994153136,25750028975,116342375530
532129,25000001,31975720283,5309968132,19060931308,-61155381,4967724032,130592231,8258337158
1098792,3512659928,37512706756,9005912307,40313081410,-1757775445,10592270056,3972080193,14170595943
411446,8083526287,55152691882,5711159445,21690372717,6554578169,6480055674,2231342635,7631276041
268251,53788217403,270134291108,65080564043,222785116267,-4552915969,104688629202,63670368404,104897390177
141404,6611374990,128601729511,23409907035,78372052714,7454643274,12482698561,2323793259,29141871219
920379,16807988247,73026186746,38770007891,41324771608,-3020169755,12235597487,17388332254,42415884647
556712,16207215048,73904251686,8280991450,16797964698,-6198178893,10021914513,5527161544,10563849349
681249,6408278637,43849269990,3398130065,32398064106,-1348008329,6297166880,846914827,7937119988
438036,52602721759,159124655475,32204549848,71003384766,1313112979,-14286718,8478441777,46913753342
115287,5465666762,118358582820,119774019347,421813057195,9822644120,5177483344,-7701288324,137591037542
992871,187909600031,549042168581,198931371131,392457342869,5380138878,188888190375,121675637938,311913155960
101628,32052963358,745064060872,49842938869,531290231166,-6329245512,37006372822,18449846729,82570752134
1179608,4289384660,77058195144,7932307694,26790480793,1715984872,8037644268,1496374820,11392615458
326731,19435110871,163081391280,12367440425,61815272615,14192905561,16467199568,4630092638,49882054570
602136,10058797000,89335799693,29366762625,76051204136,3702377526,14282425680,11995274537,34217510887
1207716,40255672067,82915988524,30147770616,50172668569,-11901279016,42344068530,12608572141,42607807249
579980,43780008807,264898520892,56816440767,179524787212,28968293350,44808793653,30224385179,67224959597
1060744,283093209181,631223568488,348787515789,1183557357656,7070598122,249038711627,137730919866,424512558533
671978,47198608178,69166261024,9808565653,24105615562,-4968439697,9374693018,6659377589,20448875622
466428,5603704286,54427199047,2806679241,5038070639,-1766184189,4795162467,2921436886,4406871905
599106,789608791,11338381748,1972785444,3224482942,380420111,2371829073,327260450,4055343507
303703,4594315732,21880696208,5645517098,4850106460,-705735430,2163125391,2900698010,6790383916
608316,16088178769,34764912299,10133155046,11237812225,-309871841,5511589145,4844344683,13795138804
612188,32994875857,29073761707,5783787385,40546585764,2924045022,3257434618,6790206559,13556144080
1259311,8219032183,54755405431,24932201551,18149880837,3937386910,8469548288,10502849183,36224687748
838500,89394206,323693962,44824403,270232386,20401380,61233103,28602565,53437198
423690,53429846534,172479022889,19079494652,115520495013,12712011031,8994709495,6989406421,42609406383
264732,8655966014,93638661603,14326235984,13800045459,-4574495973,12011273095,4486573928,23629063249
1170865,4492104850,44064023212,2853463605,41843206593,2418864021,1492290516,1650410444,4684716492
480455,174268000000,262106000000,92229000000,512124000000,2275000000,82573000000,46867000000,97498000000
609315,6107168225,29096850536,3348451237,31553150062,-3279890765,1544150924,11738087213,4625874238
226866,50949491931,584796309386,242193013650,210787591202,50031693499,121055356731,125143760232,287125651242
120508,209640240542,757322689378,341214234230,472208569744,-11110986864,190369272525,91295625778,413201320081
1032413,63638716005,233504047857,117806346063,168814854380,-8469241967,107330582592,30103725215,137478338064
367604,6450308018,46657113599,7743884373,13113111372,941291922,6953985920,5805758431,9902952889
620868,69660663335,220357557368,806561706012,310541027444,-20538660987,91831855922,62901045960,832266076076
362441,4006066894,557604103061,323860246868,583952942248,17420726149,400493580094,249598169768,356602529061
493510,13044031641,39355633682,32047493595,91125807778,2495064825,19790738368,17111059890,33222995198
1038693,6672011771,123827797515,32154683311,179590682777,-9774611192,27725397851,7288986791,44477655268
160843,51074095963,828473158214,152430235692,367764613549,50998531347,106896120630,38308685710,243736208590
164478,993707000000,8888998000000,3749802000000,9357554000000,477649000000,1611924000000,1793508000000,4149570000000
184889,57674585253,285985236311,80679619910,384007591697,-536016171,55696260504,47978116039,102416732682
112165,92399261061,83269105664,122152575136,537595116025,17599260864,70761540848,162634997988,144591848506
1075126,8519047053,23815265356,4431362881,5933405678,-3558155703,3301744686,2651043931,5111065826
164812,105906106635,323463680685,727561888462,1111187803281,-63725445641,405330646011,230154516598,752299953135
129271,21256772156,72368652697,47199987309,73036696721,1469638576,41139310990,31774060120,58635232532
274933,80686968245,284340908632,274441436800,611605278008,38537506979,106553507043,50353217354,320020286475
149354,173042560337,836388164734,123189596586,453737323562,17400382814,122412753058,77959208664,246090184745
118044,37685106264,48774499228,25252001677,57654539418,-9032023240,9882631656,8694441971,28494370620
128980,15477982967,209768189469,68073558601,101466725298,12861700479,33710942029,22242436276,75014612988
523307,35474090169,222741444776,60137760884,370203867346,-36355609376,148269397722,17116097684,72299285680
148540,2538675139000,15864464562000,5713483671000,24737714236000,564389158000,3200943553000,2532872901000,8011706833000
199076,10843193242,56364091391,3759033281,4986986964,2283727659,3652773543,1005807720,6507709158
103006,280951324672,1512399253092,336383793515,802035689887,-8956430243,424983375411,147808923812,400188945846
360674,27078718621,121938972238,7693441206,23780885686,-928304197,3697745428,7624957009,11883647011
161383,64104657128,264233869355,39872642704,69536773687,-6709549187,87277774071,31099401865,70919007455
659684,7005133253,84698660972,13525322196,88991403993,-3832530211,9878380605,10239091171,12800442338
526836,96775628763,216344521151,99955089260,159047618871,-11668613353,71789287582,38150837973,117354263580
